CodMun;UF;Cod UF;Mun;Pop estimada 2021;Faixa_pop;Regiao
1100015;RO;11;Alta Floresta DOeste;22516;4 - 20001 até 5000;1 - Norte
1100023;RO;11;Ariquemes;111148;6 - 100001 até 50000;1 - Norte
1100031;RO;11;Cabixi;5067;2 - 5001 até 1000;1 - Norte
1100049;RO;11;Cacoal;86416;5 - 50001 até 10000;1 - Norte
1100056;RO;11;Cerejeiras;16088;3 - 10001 até 2000;1 - Norte
1100064;RO;11;Colorado do Oeste;15213;3 - 10001 até 2000;1 - Norte
1100072;RO;11;Corumbiara;7052;2 - 5001 até 1000;1 - Norte
1100080;RO;11;Costa Marques;19255;3 - 10001 até 2000;1 - Norte
1100098;RO;11;Espigão DOest;33009;4 - 20001 até 5000;1 - Norte
1100106;RO;11;Guajará-Miri;46930;4 - 20001 até 5000;1 - Norte
1100114;RO;11;Jaru;51469;5 - 50001 até 10000;1 - Norte
1100122;RO;11;Ji-Paran�;131026;6 - 100001 até 50000;1 - Norte
1100130;RO;11;Machadinho DOeste;41724;4 - 20001 até 5000;1 - Norte
1100148;RO;11;Nova Brasilândia DOest;20504;4 - 20001 até 5000;1 - Norte
1100155;RO;11;Ouro Preto do Oeste;35445;4 - 20001 até 5000;1 - Norte
1100189;RO;11;Pimenta Bueno;37098;4 - 20001 até 5000;1 - Norte
1100205;RO;11;Porto Velho;548952;7 - Maior que 500000;1 - Norte
1100254;RO;11;Presidente Médic;18165;3 - 10001 até 2000;1 - Norte
1100262;RO;11;Rio Crespo;3843;1 - Até 500;1 - Norte
1100288;RO;11;Rolim de Moura;55748;5 - 50001 até 10000;1 - Norte
1100296;RO;11;Santa Luzia DOeste;5942;2 - 5001 até 1000;1 - Norte
1100304;RO;11;Vilhena;104517;6 - 100001 até 50000;1 - Norte
1100320;RO;11;São Miguel do Guapor;23147;4 - 20001 até 5000;1 - Norte
1100338;RO;11;Nova Mamor�;32184;4 - 20001 até 5000;1 - Norte
1100346;RO;11;Alvorada DOeste;13807;3 - 10001 até 2000;1 - Norte
1100379;RO;11;Alto Alegre dos Parecis;13268;3 - 10001 até 2000;1 - Norte
1100403;RO;11;Alto Paraís;22258;4 - 20001 até 5000;1 - Norte
1100452;RO;11;Buritis;41043;4 - 20001 até 5000;1 - Norte
1100502;RO;11;Novo Horizonte do Oeste;8125;2 - 5001 até 1000;1 - Norte
1100601;RO;11;Cacaulândi;6307;2 - 5001 até 1000;1 - Norte
1100700;RO;11;Campo Novo de Rondôni;14391;3 - 10001 até 2000;1 - Norte
1100809;RO;11;Candeias do Jamari;28068;4 - 20001 até 5000;1 - Norte
1100908;RO;11;Castanheiras;2923;1 - Até 500;1 - Norte
1100924;RO;11;Chupinguaia;11755;3 - 10001 até 2000;1 - Norte
1100940;RO;11;Cujubim;27131;4 - 20001 até 5000;1 - Norte
1101005;RO;11;Governador Jorge Teixeira;7130;2 - 5001 até 1000;1 - Norte
1101104;RO;11;Itapuã do Oest;10819;3 - 10001 até 2000;1 - Norte
1101203;RO;11;Ministro Andreazza;9461;2 - 5001 até 1000;1 - Norte
1101302;RO;11;Mirante da Serra;10691;3 - 10001 até 2000;1 - Norte
1101401;RO;11;Monte Negro;16158;3 - 10001 até 2000;1 - Norte
1101435;RO;11;Nova Uniã;6822;2 - 5001 até 1000;1 - Norte
1101450;RO;11;Parecis;6319;2 - 5001 até 1000;1 - Norte
1101468;RO;11;Pimenteiras do Oeste;2127;1 - Até 500;1 - Norte
1101476;RO;11;Primavera de Rondôni;2697;1 - Até 500;1 - Norte
1101484;RO;11;São Felipe DOest;4962;1 - Até 500;1 - Norte
1101492;RO;11;São Francisco do Guapor;21088;4 - 20001 até 5000;1 - Norte
1101500;RO;11;Seringueiras;11846;3 - 10001 até 2000;1 - Norte
1101559;RO;11;Teixeirópoli;4160;1 - Até 500;1 - Norte
